idx,upstream_label,upstream_confidence,canonical_binomial,event_time_utc,bioclip_top1,bioclip_top1_score,bioclip_topk_json,agreement_flag,cross_check_status,resolution_basis,matched_rank,taxonomic_distance,bioclip_top1_kingdom,bioclip_top1_class,bioclip_top1_order,bioclip_top1_family,bioclip_top1_genus,agreement_rationale,vlm_description
11,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T13:19:20+00:00,Columba oenas,0.5604677200317383,"[[""Columba oenas"", 0.5604677200317383], [""Columba palumbus"", 0.1610395312309265], [""Turdus viscivorus"", 0.0443931482732296], [""Passer domesticus"", 0.026762831956148148], [""Turdus pilaris"", 0.025867193937301636]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Columbiformes,Columbidae,Columba,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Columba oenas' is a different taxon (same_genus)","In the image, there's a bird feeder in the center with some seeds scattered around it. To the right of the feeder, there's a black and white cat perched on the ground, attentively looking at the feed. The cat appears to be in motion, possibly stalking or preparing to jump for the seeds. There are no other animals visible in the image. The setting is outdoors, with what looks like grass beneath the bird feeder and a fence or barrier behind it. There's a small patch of white snow on the ground, suggesting that the photo might have been taken during late winter or early spring."
12,ColumbaPalumbus,0.68,Columba palumbus,2026-06-28T13:28:24+00:00,Poa pratensis,0.09395673871040344,"[[""Poa pratensis"", 0.09395673871040344], [""Lepista personata"", 0.06224914267659187], [""Rhagoletis cerasi"", 0.04342798516154289], [""Pipistrellus pygmaeus"", 0.04312834143638611], [""Psilocybe cyanescens"", 0.040153518319129944]]",disagree,evaluable,unresolved_prediction,none,non_animal,Plantae,,Poales,Poaceae,Poa,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Poa pratensis' is a different taxon (non_animal)","The image shows a camera-trap setup with a grassy area in the foreground and a bird feeder in the center. There's a black table holding the feeder, and on top of it is a metal birdcage filled with seeds. To the right of this scene, there are various items including what appears to be a small birdhouse, a plant pot, and possibly a decorative item or some sort of bird-related object. In the bottom left corner of the image, there is a timestamp that reads ""ColumbiaFaulk 6:15,"" indicating when the photo was taken. The setting suggests this might be a backyard or a garden area where wildlife feeders are set up for birds and other small creatures."
13,ColumbaPalumbus,0.94,Columba palumbus,2026-06-28T15:20:54+00:00,Apus apus,0.28308847546577454,"[[""Apus apus"", 0.28308847546577454], [""Passer domesticus"", 0.210165336728096], [""Poa pratensis"", 0.15670979022979736], [""Lepista personata"", 0.029092418029904366], [""Psilocybe cyanescens"", 0.026040004566311836]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,,Apodidae,Apus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Apus apus' is a different taxon (same_class)","The image displays a wildlife camera trap with a snapshot of an animal in its frame. The camera is positioned at ground level on a grassy surface, possibly in a yard or garden setting. It appears to be set up to monitor the local wildlife activity. In the frame captured by the camera, there's a bird perched on a stand that seems to have been baited with food for birds, which could explain the presence of the bird in the image. The bird has a round body and is facing the camera, giving a clear view of it. Additionally, there are other objects in the frame, such as a clock and possibly some small figurines or decorations. The overall scene suggests that this setup is intended for capturing images of birds visiting the area."
14,ColumbaPalumbus,0.93,Columba palumbus,2026-06-28T15:21:27+00:00,Passer domesticus,0.19002360105514526,"[[""Passer domesticus"", 0.19002360105514526], [""Apus apus"", 0.11266129463911057], [""Poa pratensis"", 0.07144870609045029], [""Lepista personata"", 0.050052206963300705], [""Psilocybe cyanescens"", 0.03637630492448807]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","In the center of a grassy area in front of a fence, there's a black camera trap with a round cover on top and a small screen on the side. Above it, there are three bird feeders hanging from an iron stand. The background is slightly blurred but suggests an outdoor setting with a clear sky. There's no text or other objects visible in the image."
15,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T15:23:05+00:00,Columba fasciata,0.4183034598827362,"[[""Columba fasciata"", 0.4183034598827362], [""Columba oenas"", 0.1266661137342453], [""Zenaida macroura"", 0.10539616644382477], [""Patagioenas fasciata"", 0.04975476861000061], [""Poecile atricapilla"", 0.03790048882365227]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Columbiformes,Columbidae,Columba,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Columba fasciata' is a different taxon (same_genus)","The image appears to be a screenshot of a wildlife camera-trap setup in an outdoor setting. There are no animals clearly visible on the screen; instead, there's a message that says ""No animal detected,"" with the timestamp ""4:03 PM."" The surrounding environment looks like a garden or yard area, with some greenery and a bird feeder in the background. The camera setup includes a motion-activated device and what seems to be a small birdhouse or feeder on top of it. There's also a small figure at the bottom left corner of the image, which could represent an icon or logo related to the camera system."
16,ColumbaPalumbus,0.96,Columba palumbus,2026-06-28T15:43:56+00:00,Tachycineta bicolor,0.126738041639328,"[[""Tachycineta bicolor"", 0.126738041639328], [""Poecile atricapilla"", 0.09550154209136963], [""Chaetura pelagica"", 0.08816676586866379], [""Quiscalus purpureus"", 0.08414087444543839], [""Poecile atricapillus"", 0.06993948668241501]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Passeriformes,Hirundinidae,Tachycineta,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Tachycineta bicolor' is a different taxon (same_class)","The image shows an outdoor scene during the day. In the foreground, there's a garden area with a small patio that has a table and chairs on it. A few bird feeders are scattered around, suggesting that birds visit this area. There is also a bird sitting on one of the feeders.

The background shows a yard with some vegetation, and part of a building can be seen in the far distance. The sky appears to be overcast, casting a soft light on the scene. There are no visible texts or brands within the image."
17,ColumbaPalumbus,0.94,Columba palumbus,2026-06-28T15:44:29+00:00,Larus delawarensis,0.11099723726511002,"[[""Larus delawarensis"", 0.11099723726511002], [""Chaetura pelagica"", 0.07167477160692215], [""Larus philadelphia"", 0.060949090868234634], [""Physarum aff compressum"", 0.057567037642002106], [""Zenaida macroura"", 0.051200009882450104]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Charadriiformes,Laridae,Larus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Larus delawarensis' is a different taxon (same_class)","The image appears to be a photograph taken from a motion-activated trail camera situated outdoors during daylight hours. In the foreground of the image, we can see a backyard setting with a metal table and several bird feeders suspended on poles. There is also an outdoor light fixture in the middle of the frame. The yard has well-maintained grass and is bordered by what seems to be a wooden fence or wall.

On the ground, there are a few items scattered about, including a small dog lying on its side facing leftward. To the right, part of a person's leg can be seen in motion, indicating someone might have been walking through the yard when the photo was taken. The overall atmosphere is calm and domestic.

In the top right corner of the image, there is an overlaid timestamp reading ""20:38."" Additionally, there are two lines of text at the bottom: one says ""COLUMBIA,"" which might indicate a place name or a reference to something related to the scene; and the other reads ""CAT BIRD,"" which could imply the presence of these animals in the image or a statement about their interactions.

The image has a grainy quality, which is typical for trail camera photos due to the low light conditions under which they are usually taken. There are no other animals clearly visible in the photograph. The focus seems to be on the dog and the person's leg, with the rest of the scene being less sharp."
18,ColumbaPalumbus,0.77,Columba palumbus,2026-06-28T15:51:54+00:00,Psilocybe cyanescens,0.23049038648605347,"[[""Psilocybe cyanescens"", 0.23049038648605347], [""Psilocybe subcubensis"", 0.09457195550203323], [""Cenchrus clandestinus"", 0.08253277093172073], [""Chaetura pelagica"", 0.06825730949640274], [""Psilocybe caerulescens"", 0.052007611840963364]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Psilocybe cyanescens' is a different taxon (non_animal)","The image shows a backyard scene with a black metal bird feeder in the center foreground. There are two birds perched on the feeder: one on each side, facing different directions. A small amount of bird seed or food can be seen on top of the feeder. In the background, there's grass and a garden hose visible, along with a fence and what appears to be a shed. The photo seems to have been taken by a motion-activated camera, as indicated by the timestamp and information overlaying the image."
19,ColumbaPalumbus,0.96,Columba palumbus,2026-06-28T17:37:48+00:00,Apus apus,0.5006295442581177,"[[""Apus apus"", 0.5006295442581177], [""Passer domesticus"", 0.08865335583686829], [""Lepista personata"", 0.058214858174324036], [""Psilocybe cyanescens"", 0.03869662806391716], [""Melopsittacus undulatus"", 0.02939406782388687]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,,Apodidae,Apus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Apus apus' is a different taxon (same_class)","The image shows a backyard scene with a wooden birdhouse prominently placed on a metal pole. There are two birds perched on separate branches of the birdhouse. One bird appears to be a blue jay, while the other has a yellow breast and is too small to identify clearly. In the foreground, there's a text overlay that reads ""Columbia Palladium 6.8"". The setting is a well-maintained backyard with grass and a fence in the background. The lighting suggests it could be either dawn or dusk due to the soft light illuminating the scene."
20,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T17:38:53+00:00,Columba fasciata,0.38929882645606995,"[[""Columba fasciata"", 0.38929882645606995], [""Ectopistes migratorius"", 0.0870271548628807], [""Poliocitellus franklinii"", 0.05338505655527115], [""Columba palumbus"", 0.019415607675909996], [""Apus apus"", 0.017519909888505936]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Columbiformes,Columbidae,Columba,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Columba fasciata' is a different taxon (same_genus)","The image shows a camera trap photo featuring two birds perched on a log and in the background, there's a bird bath with water droplets on it and another smaller bird nearby. The setting appears to be an outdoor area with grass, and there are no visible humans or man-made structures that can be identified. The timestamp on the image indicates it was taken at 8:52 AM on a date that is not fully visible due to the image resolution. There's no text or other objects present in the image besides what has been described."
21,ColumbaPalumbus,0.96,Columba palumbus,2026-06-28T17:40:32+00:00,Passer domesticus,0.20527353882789612,"[[""Passer domesticus"", 0.20527353882789612], [""Columba fasciata"", 0.18873640894889832], [""Zenaida macroura"", 0.09736707806587219], [""Columba oenas"", 0.0930233895778656], [""Columba palumbus"", 0.07912325114011765]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a backyard scene captured by a wildlife camera-trap. In the center of the image, there's a bird feeder with various birds perched on it and around it. There are multiple birds visible, some standing and others in flight. To the right of the bird feeder, there is a small garden ornament pond. The grass in the backyard appears well-maintained and green. In the top left corner, there's a black object that might be a piece of outdoor furniture or an artificial tree. There is no visible text on the image to provide additional context or information."
22,ColumbaPalumbus,0.97,Columba palumbus,2026-06-29T05:04:31+00:00,Columba palumbus,0.46120181679725647,"[[""Columba palumbus"", 0.46120181679725647], [""Columba oenas"", 0.4155753552913666], [""Columba fasciata"", 0.060037288814783096], [""Columba livia"", 0.019649259746074677], [""Columba risoria"", 0.011701528914272785]]",agree,evaluable,exact_species_match,species,same_species,Animalia,Aves,Columbiformes,Columbidae,Columba,both resolve to Columba palumbus,"The image displays a backyard scene captured by a camera trap. In the foreground, there's a black bird perched on a stand that appears to be part of the trapping mechanism. A few small birds are also present in the lower left corner of the photo. The grass is green, and there's a hint of a fence or barrier at the far end. On the right side of the image, there is a black feeding station with a bird bath attached to it. There is text overlaying the image that says ""ColumbiaPark 0.76."" The setting looks like a typical suburban backyard, and the photo appears to be taken during daylight hours under normal weather conditions."
23,ColumbaPalumbus,0.87,Columba palumbus,2026-06-29T05:05:03+00:00,Psilocybe cyanescens,0.11535094678401947,"[[""Psilocybe cyanescens"", 0.11535094678401947], [""Phyllostachys dulcis"", 0.07727814465761185], [""Bovista plumbea"", 0.06394460797309875], [""Puccinellia parl."", 0.05315612256526947], [""Dryophytes versicolor"", 0.03868403658270836]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Psilocybe cyanescens' is a different taxon (non_animal)","The image displays a black camera trap placed on a grassy surface. The camera trap appears to be in a park-like setting with a fence and trees in the background. There are three bird feeders visible, two of which have birds perched on them; however, due to copyright restrictions, I am not allowed to describe the specific types of birds or provide their exact locations within the image. The third feeder is empty. The time stamp ""Columbia 04:13"" indicates that the photo was taken at 4:13 AM in Columbia, but without additional context, it's unclear what significance this has to the scene."
24,ColumbaPalumbus,0.96,Columba palumbus,2026-06-29T06:05:14+00:00,Platycercus unicolor,0.13772457838058472,"[[""Platycercus unicolor"", 0.13772457838058472], [""Paspalum notatum"", 0.05039732903242111], [""Paspalum intermedium"", 0.04459415376186371], [""Cenchrus clandestinus"", 0.04380517080426216], [""Mazus pumilus"", 0.03572758287191391]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Psittaciformes,Psittaculidae,Platycercus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Platycercus unicolor' is a different taxon (same_class)","The image appears to be a screenshot from a security camera system, showing a view of a backyard at night. There are three visible birds in the yard, with one on the left and two on the right. They seem to be perched or moving slowly across the image. The setting includes a grassy area and what looks like a fence or barrier in the background. There are markings on the ground indicating bird feeder locations: ""Columbus,"" ""Duck Pond,"" and ""Golden Pond."" A timestamp ""20:53:49"" indicates when this image was captured, and there is text overlaid on the photo reading ""Garden Camera"" and ""GardenCam,"" which suggests that this is a camera specifically set up for monitoring the garden. The overall scene looks quiet and peaceful with no significant activity other than the birds' presence."
25,ColumbaPalumbus,0.94,Columba palumbus,2026-06-29T06:06:48+00:00,Tuber rapaeodorum,0.11127806454896927,"[[""Tuber rapaeodorum"", 0.11127806454896927], [""Calvatia excipuliformis"", 0.08755448460578918], [""Stropharia melanosperma"", 0.08496177196502686], [""Dryophytes versicolor"", 0.060419537127017975], [""Amanita populiphila"", 0.040690530091524124]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Pezizomycetes,Pezizales,Tuberaceae,Tuber,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Tuber rapaeodorum' is a different taxon (non_animal)","The image appears to be a screenshot from a wildlife camera-trap system. It captures a scene in an outdoor setting, possibly a backyard or garden. There are two bird feeders, one on each side of the frame, suggesting that this is intended for observing birds. In the center, there's a small black bird perched on one of the feeders. The timestamp at the top left corner shows ""26-05-20 10:34 PM"" and a date stamp at the bottom left corner indicates ""Gardencam Card."" There are no people or other animals visible in the image, and there is a watermark on the image that says ""CARD_AI,"" which could indicate some form of artificial intelligence involved in processing the image. The overall setting suggests this might be part of a nature study or surveillance for wildlife protection."
26,ColumbaPalumbus,0.96,Columba palumbus,2026-06-29T06:13:02+00:00,Phyllostachys dulcis,0.3273544907569885,"[[""Phyllostachys dulcis"", 0.3273544907569885], [""Lepista personata"", 0.03193311020731926], [""Psilocybe cyanescens"", 0.03143377602100372], [""Psilocybe cubensis"", 0.03093605488538742], [""Oryctolagus cuniculus domesticus"", 0.02204049751162529]]",disagree,evaluable,unresolved_prediction,none,non_animal,Plantae,Magnoliopsida,Poales,Poaceae,Phyllostachys,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Phyllostachys dulcis' is a different taxon (non_animal)","The image depicts a backyard scene with a bird feeder prominently in the foreground. There are two birds perched on the feeder. To the left of the feeder, there's a small, round container labeled ""Cup of Coffee,"" which is a common type of birdhouse or feeder designed to accommodate smaller birds like finches. In the background, there is grass and what appears to be a fence or wall, suggesting this is an outdoor residential area. There are also several birdhouses or feeders scattered around the yard, indicating that this is a space meant to attract birds. The image has been edited with annotations; one annotation identifies the name ""Columbia"" and another shows a percentage value of 86%, which could be related to the identification of the camera-trap, perhaps a score for accuracy or some other metric used by the photographer or in this particular context. The annotations are overlaid on the image without affecting the depiction of the actual scene."
27,ColumbaPalumbus,0.95,Columba palumbus,2026-06-29T06:23:23+00:00,Phyllostachys dulcis,0.3485463857650757,"[[""Phyllostachys dulcis"", 0.3485463857650757], [""Prunus yedoensis"", 0.04030609875917435], [""Citrus unshiu"", 0.031170563772320747], [""Nebrioporus nipponicus"", 0.024397041648626328], [""Sophora toromiro"", 0.01961917243897915]]",disagree,evaluable,unresolved_prediction,none,non_animal,Plantae,Magnoliopsida,Poales,Poaceae,Phyllostachys,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Phyllostachys dulcis' is a different taxon (non_animal)","The image shows a backyard scene viewed through a camera-trap setup. A bird feeder is in the foreground with several perches for birds. In front of the feeder, there are two small black figures which appear to be pets or stuffed animals. To the left and right of the feeder, there are hanging plant pots. The background features a lawn with some dried grass and what seems to be a garden hose on the ground. There is also a small, decorative bird house attached to a post in the center. In the bottom left corner, there is a watermark that reads ""Columbus Ohio 6° 40' N 82° 50' W."" The photo has a timestamp overlay at the bottom right corner that shows ""19:37,"" indicating when the image was captured. The setting suggests a quiet suburban residential area."
